#separator:pipe
#html:false
#deck:JLPT N1 漢字
#notetype:Ikoma Kanji
亜熱帯|あねったい|subtropical|あの国は{{c1::亜熱帯}}気候だ。
珠算|しゅざん|abacus calculation|私は{{c1::珠算}}二級を持っている。
真珠|しんじゅ|pearl|両親から{{c1::真珠}}のネックレスをもらった。
趣味|しゅみ|hobby|{{c1::趣味}}は読書です。
趣|おもむき|elegance; charm; taste|{{c1::趣}}のある立派な庭園ですね。
平均寿命|へいきんじゅみょう|average life expectancy|男女の{{c1::平均寿命}}には差がある。
呪文|じゅもん|spell; incantation|苦い{{c1::呪文}}を唱える。
呪った|のろった|cursed|私は運命を{{c1::呪った}}。
授業|じゅぎょう|class; lesson|次の{{c1::授業}}は英語だ。
授かり|さずかり|to be blessed with|子どもは神からの{{c1::授かり}}ものだ。
需要|じゅよう|demand|{{c1::需要}}と供給の関係で価格が決まる。
必需品|ひつじゅひん|necessities|海辺では水は{{c1::必需品}}だ。
儒教|じゅきょう|Confucianism|{{c1::儒教}}の影響を受けて育った。
樹木|じゅもく|trees and shrubs|門から玄関まで両側に{{c1::樹木}}が茂っている。
優秀|ゆうしゅう|excellent|{{c1::優秀}}な成績で卒業した。
秀でた|ひいでた|excelled in|一芸に{{c1::秀でた}}人が集まった。
宗教|しゅうきょう|religion|多くの{{c1::宗教}}は宗派に分かれている。
宗派|しゅうは|sect; denomination|宗教はいくつかの{{c1::宗派}}に分かれている。
悪臭|あくしゅう|bad smell|{{c1::悪臭}}が漂う。
臭い|くさい|smelly|ガス{{c1::臭い}}匂いがした。
臭み|くさみ|fishy or bad odor|魚料理の{{c1::臭み}}を取る。
修理工場|しゅうりこうじょう|repair shop|車の{{c1::修理工場}}で働く。
修業中|しゅぎょうちゅう|in training|今はコックとして{{c1::修業中}}です。
修めた|おさめた|completed (studies)|英国の大学院で学位を{{c1::修めた}}。
就職|しゅうしょく|finding employment|金融機関に{{c1::就職}}する。
成就|じょうじゅ|realization; fulfillment|願いが{{c1::成就}}した。
就く|つく|to take (a position)|希望する職に{{c1::就く}}のは難しい。
公衆|こうしゅう|the public|{{c1::公衆}}の面前で恥をかいた。
大衆的|たいしゅうてき|popular; mass appeal|{{c1::大衆的}}な居酒屋で飲んだ。
哀愁|あいしゅう|melancholy|{{c1::哀愁}}を帯びた旋律が魅力だ。
愁い|うれい|sorrow|{{c1::愁い}}に沈む。
応酬|おうしゅう|exchange; response|彼は冷静に{{c1::応酬}}した。
醜態|しゅうたい|disgraceful behavior|酔って{{c1::醜態}}をさらした。
醜い|みにくい|ugly|けばけばしく{{c1::醜い}}。
襲撃|しゅうげき|attack; assault|敵の{{c1::襲撃}}を受けた。
襲われている|おそわれている|being attacked|いつも不安に{{c1::襲われている}}。
果汁|かじゅう|fruit juice|{{c1::果汁}}100%のジュースを飲む。
味噌汁|みそしる|miso soup|{{c1::味噌汁}}が好きになった。
充実|じゅうじつ|fulfilling; enrichment|{{c1::充実}}した生活を送りたい。
充てる|あてる|to assign; to devote|ボーナスを返済に{{c1::充てる}}。
従業員|じゅうぎょういん|employee|{{c1::従業員}}に給料を支払った。
従って|したがって|therefore; accordingly / follow|順路に{{c1::従って}}進む。
渋滞|じゅうたい|traffic jam|この道はいつも{{c1::渋滞}}している。
銃撃戦|じゅうげきせん|gun battle|ニュースによると、A国で{{c1::銃撃戦}}があり多くの負傷者が出た。
獣医|じゅうい|veterinarian|愛犬を{{c1::獣医}}に診てもらう。
獣|けもの|beast; animal|{{c1::獣}}がよく通る道を{{c1::獣}}道という。
獣道|けものみち|animal trail|獣がよく通ることからできた道を{{c1::獣道}}という。
操縦|そうじゅう|steering; piloting|いつか飛行機を{{c1::操縦}}してみたい。
縦|たて|vertical|正方形は{{c1::縦}}と横の長さが同じ。
叔父|おじ|uncle|{{c1::叔父}}から入学祝いが送られてきた。
叔母|おば|aunt|{{c1::叔母}}から入学祝いが送られてきた。
紳士淑女|しんししゅくじょ|ladies and gentlemen|この会は{{c1::紳士淑女}}の集まりです。
静粛|せいしゅく|silence|テスト中は{{c1::静粛}}に。
厳粛|げんしゅく|solemnity|{{c1::厳粛}}な儀式に臨む。
自粛|じしゅく|self-restraint|病気をしてから酒を{{c1::自粛}}している。
短縮|たんしゅく|shortening|電話番号を{{c1::短縮}}ダイヤルにした。
縮めた|ちぢめた|shortened|スカートの丈が長いので{{c1::縮めた}}。
学習塾|がくしゅうじゅく|cram school|週に3回{{c1::学習塾}}に通っている。
熟睡|じゅくすい|deep sleep|{{c1::熟睡}}していて目覚ましが鳴っても気づかなかった。
熟れる|うれる|to ripen|柿の実が{{c1::熟れる}}。
俊敏|しゅんびん|agile; quick|{{c1::俊敏}}なジャーナリストの記事は興味深い。
瞬間|しゅんかん|moment; instant|決定的{{c1::瞬間}}をカメラに収めた。
瞬く|またたく|to blink; twinkle|サイレンの音で強盗は{{c1::瞬く}}うちに逃げた。
上旬|じょうじゅん|early in the month|来月の{{c1::上旬}}には帰国するつもりだ。
中旬|ちゅうじゅん|middle of the month|来月の{{c1::中旬}}に予定がある。
旬|しゅん|in season|{{c1::旬}}の野菜を使って料理する。
巡査|じゅんさ|police officer|駅前の交番の{{c1::巡査}}はとても親切だ。
巡る|めぐる|to go around|京都のお寺を{{c1::巡る}}。
矛盾|むじゅん|contradiction|言っていることが{{c1::矛盾}}している。
盾|たて|shield|選挙を{{c1::盾}}にとって行動する。
批准|ひじゅん|ratification|条約の{{c1::批准}}は困難な見通しだ。
殉職|じゅんしょく|death in the line of duty|山本刑事は事件で{{c1::殉職}}した。
循環|じゅんかん|circulation|町を{{c1::循環}}するバスが走っている。
利潤|りじゅん|profit|商売で{{c1::利潤}}をあげる。
潤ませて|うるませて|to moisten (e.g. eyes)|映画のシーンで目を{{c1::潤ませて}}いた。
遵守|じゅんしゅ|observance; compliance|法律を{{c1::遵守}}しなければならない。
庶民的|しょみんてき|common; down-to-earth|彼女は{{c1::庶民的}}な人だった。
突如|とつじょ|suddenly|{{c1::突如}}ガス爆発が起きた。
如実|にょじつ|vividly; clearly|努力の成果が{{c1::如実}}に現れた。
順序|じゅんじょ|order; sequence|{{c1::順序}}立てて話してください。
叙情詩|じょじょうし|lyrical poem|彼は{{c1::叙情詩}}を書く詩人です。
叙勲|じょくん|conferment of decorations|長年の功績が認められ{{c1::叙勲}}を受けた。
徐行運転|じょこううんてん|slow driving|スクールゾーンでは{{c1::徐行運転}}を心がけてください。
一升瓶|いっしょうびん|1.8L sake bottle|最近は一般家庭で{{c1::一升瓶}}を見かけなくなった。
升|ます|measuring box; unit of volume|{{c1::升}}で白米を計る。
師匠|ししょう|master; teacher|私と山田さんは{{c1::師匠}}と弟子の関係だ。
戸籍抄本|こせきしょうほん|extract of family register|履歴書と一緒に{{c1::戸籍抄本}}を提出してください。
肖像画|しょうぞうが|portrait|宮殿には歴代の国王の{{c1::肖像画}}が飾られていた。
高尚|こうしょう|refined; noble|オペラ鑑賞とは{{c1::高尚}}な趣味ですね。
老松|ろうしょう|old pine tree|{{c1::老松}}が門前に立っていた。
松の木|まつのき|pine tree|{{c1::松の木}}が海岸沿いに立っている。
沼沢地|しょうたくち|marshland|この辺は{{c1::沼沢地}}になっている。
泥沼|どろぬま|bog; quagmire|グラウンドは{{c1::泥沼}}のようだ。
昭和|しょうわ|Showa era|{{c1::昭和}}から平成に元号は変わった。
春宵一刻値千金|しゅんしょういっこくあたいせんきん|A spring evening is worth a thousand gold pieces|{{c1::春宵一刻値千金}}という。
宵闇|よいやみ|twilight dusk|{{c1::宵闇}}が迫ると駅は混雑する。
症状|しょうじょう|symptom|風邪の{{c1::症状}}が出た。
発祥|はっしょう|origin|ナイル川流域は古代文明{{c1::発祥}}の地だ。
称賛|しょうさん|praise|技術が世界的に{{c1::称賛}}されている。
合唱団|がっしょうだん|choir|ウィーン少年{{c1::合唱団}}が来日した。
唱えて|となえて|to recite; chant|スローガンを{{c1::唱えて}}歩いた。
交渉|こうしょう|negotiation|{{c1::交渉}}は難航していた。
干渉|かんしょう|interference|母は私のすることにいちいち{{c1::干渉}}する。
民事訴訟|みんじそしょう|civil lawsuit|{{c1::民事訴訟}}を起こされた。
車掌|しゃしょう|train conductor|{{c1::車掌}}さんが近づいてきた。
結晶|けっしょう|crystal|雪の{{c1::結晶}}は美しい。
水晶|すいしょう|crystal (quartz)|{{c1::水晶}}を使って飾りを作る。
焦点|しょうてん|focus|{{c1::焦点}}を絞る。
焦げて|こげて|burned|何かが{{c1::焦げて}}いる匂いがする。
焦った|あせった|got flustered|待ち合わせに遅れそうで{{c1::焦った}}。
硝酸|しょうさん|nitric acid|{{c1::硝酸}}は劇薬に指定されている。
化粧|けしょう|makeup|役者が楽屋で{{c1::化粧}}を始めた。
証人|しょうにん|witness|{{c1::証人}}として出廷した。
証言|しょうげん|testimony|裁判で{{c1::証言}}した。
負傷|ふしょう|injury|衝突して{{c1::負傷}}した。
傷口|きずぐち|wound|{{c1::傷口}}が痛む。
傷んで|いたんで|damaged|家が{{c1::傷んで}}きた。
奨学金|しょうがくきん|scholarship|{{c1::奨学金}}がもらえることになった。
詳細|しょうさい|details|{{c1::詳細}}は後日連絡します。
詳しく|くわしく|in detail|{{c1::詳しく}}解説してくれる。
表彰|ひょうしょう|commendation|父は安全運転で{{c1::表彰}}された。
障害|しょうがい|obstacle; disability|私たちの結婚には多くの{{c1::障害}}があった。
障ります|さわります|to harm (health)|無理をすると体に{{c1::障ります}}よ。
衝撃的|しょうげきてき|shocking|{{c1::衝撃的}}な体験を聞いた。
補償|ほしょう|compensation|損害を与えた場合、{{c1::補償}}するのは当然だ。
償う|つぐなう|to make amends|罪を{{c1::償う}}。
座礁|ざしょう|running aground|タンカーが{{c1::座礁}}して原油が流出した。
半鐘|はんしょう|fire alarm bell|火事を知らせるとき、{{c1::半鐘}}を鳴らした。
鐘|かね|bell|除夜の{{c1::鐘}}をつく。
醤油|しょうゆ|soy sauce|欧米でも{{c1::醤油}}を売っている。
大丈夫|だいじょうぶ|okay; alright|そんなに心配しなくても{{c1::大丈夫}}ですよ。
丈|たけ|length|スカートの{{c1::丈}}をつめた。
冗談|じょうだん|joke|彼は{{c1::冗談}}を言って笑わせる。
条件|じょうけん|condition|先方の{{c1::条件}}をのんで契約した。
箇条書き|かじょうがき|itemized list|点を{{c1::箇条書き}}にする。
洗浄|せんじょう|cleaning|容器は{{c1::洗浄}}してから再利用する。
浄水|じょうすい|purified water|{{c1::浄水}}を飲む。
余剰人員|よじょうじんいん|surplus personnel|{{c1::余剰人員}}は子会社に回す。
縄文時代|じょうもんじだい|Jomon period|{{c1::縄文時代}}の土器が発見された。
縄跳び|なわとび|jump rope|子どもの頃、{{c1::縄跳び}}をよくした。
土壌|どじょう|soil|この{{c1::土壌}}は農作物に適していない。
お嬢さん|おじょうさん|young lady|{{c1::お嬢さん}}が席を譲ってくれた。
1錠|いちじょう|one tablet|この薬は{{c1::1錠}}を1日3回服用する。
分譲|ぶんじょう|condominium unit sale|ここには{{c1::分譲}}マンションが建つ。
譲った|ゆずった|gave up (seat, etc.)|席をお年寄りに{{c1::譲った}}。
醸造酒|じょうぞうしゅ|brewed liquor|私は{{c1::醸造酒}}が好きだ。
醸し出して|かもしだして|to bring about|独特の雰囲気を{{c1::醸し出して}}いる。
繁殖力|はんしょくりょく|reproductive power|ゴキブリの{{c1::繁殖力}}はすごい。
殖やそうか|ふやそうか|to try to increase|財産をどう{{c1::殖やそうか}}考えている。
装飾品|そうしょくひん|ornament|彼は{{c1::装飾品}}を集めている。
着飾って|きかざって|to dress up|{{c1::着飾って}}パーティーに行った。
委嘱|いしょく|commission|主題歌の作曲を{{c1::委嘱}}された。
染織|せんしょく|dyeing and weaving|帯は日本伝統の{{c1::染織}}品です。
組織|そしき|organization|個人では力不足なので{{c1::組織}}を作る。
織物|おりもの|woven fabric|これは伝統的な{{c1::織物}}です。
屈辱|くつじょく|humiliation|絶対勝てる試合に負けて{{c1::屈辱}}だった。
辱しめて|はずかしめて|to disgrace|母校の名を{{c1::辱しめて}}いる。
尻|しり|buttocks|いたずらして{{c1::尻}}を叩かれた。
不法侵入|ふほうしんにゅう|illegal entry|海からの{{c1::不法侵入}}を防ぐ。
侵して|おかして|to violate|他国の王を{{c1::侵して}}はならない。
興味津々|きょうみしんしん|very interested|子どもたちは実験に{{c1::興味津々}}だった。
津波|つなみ|tsunami|{{c1::津波}}の恐れがある。
読唇術|どくしんじゅつ|lip reading|彼は{{c1::読唇術}}ができる。
唇|くちびる|lips|怒ると{{c1::唇}}をとがらせる。
妊娠|にんしん|pregnancy|{{c1::妊娠}}と出産に関する雑誌が人気。
振動|しんどう|vibration|車体の{{c1::振動}}が激しい。
振って|ふって|to shake|犬はしっぽを{{c1::振って}}近寄る。
浸食|しんしょく|erosion|波に{{c1::浸食}}されて不思議な形の岩ができた。
浸した|ひたした|to soak|火傷した指を急いで水に{{c1::浸した}}。
紳士服|しんしふく|gentlemen’s clothing|{{c1::紳士服}}の売り場は5階です。
診療時間|しんりょうじかん|consultation hours|{{c1::診療時間}}は午前9時からです。
診て|みて|to examine|医者に胃の様子を{{c1::診て}}もらう。
慎重|しんちょう|cautious|{{c1::慎重}}に行動しよう。
慎む|つつしむ|to refrain|無礼な言動は{{c1::慎む}}べきだ。
第一次審査|だいいちじしんさ|first screening|私の作品は{{c1::第一次審査}}に合格した。
審判|しんぱん|referee|{{c1::審判}}が笛を吹いた。
自刃|じじん|suicide by sword|武士が{{c1::自刃}}した。
刃|やいば|blade|カッターの{{c1::刃}}で手を切った。
刃渡り|はわたり|blade length|ナイフの{{c1::刃渡り}}は10センチです。
仁愛|じんあい|benevolence|祖母は{{c1::仁愛}}の心を持っていた。
仁義|じんぎ|duty and humanity|彼は{{c1::仁義}}を重んじる人だ。
尽力|じんりょく|effort|計画実現のため{{c1::尽力}}した。
尽きて|つきて|to be exhausted|力{{c1::尽きて}}倒れた。
迅速|じんそく|quick|{{c1::迅速}}な対応で助かった。
甚大|じんだい|enormous|{{c1::甚大}}な損害を受けた。
甚だ|はなはだ|extremely|{{c1::甚だ}}残念です。
報道陣|ほうどうじん|press corps|{{c1::報道陣}}に囲まれた。
尋問|じんもん|interrogation|警官に{{c1::尋問}}された。
尋ねた|たずねた|asked|人に道を{{c1::尋ねた}}。
肝腎|かんじん|essential|{{c1::肝腎}}なことを忘れた。
腎臓|じんぞう|kidney|{{c1::腎臓}}の調子が悪い。
垂直分布|すいちょくぶんぷ|vertical distribution|植物の{{c1::垂直分布}}を調べる。
垂れて|たれて|to drip|汗が全身から{{c1::垂れて}}いた。
炊飯器|すいはんき|rice cooker|新しい{{c1::炊飯器}}を買った。
炊ける|たける|to cook (rice)|電子レンジでご飯が{{c1::炊ける}}。
純粋|じゅんすい|pure|{{c1::純粋}}な心を持っている。
衰退|すいたい|decline|経済が{{c1::衰退}}している。
衰える|おとろえる|to weaken|年とともに体力が{{c1::衰える}}。
推理小説|すいりしょうせつ|mystery novel|姉は{{c1::推理小説}}が好きだ。
麻酔|ますい|anesthesia|{{c1::麻酔}}をかけてから歯を抜いた。
酔って|よって|to get drunk|お酒に弱いのですぐ{{c1::酔って}}しまった。
遂行|すいこう|accomplishment|彼には任務を{{c1::遂行}}する義務がある。
遂げた|とげた|achieved|A国はめざましい発展を{{c1::遂げた}}。
睡眠|すいみん|sleep|{{c1::睡眠}}は早めにとると良い。
熟睡|じゅくすい|deep sleep|授業中に{{c1::熟睡}}してしまった。
出穂期|しゅっすいき|heading stage (rice)|稲は{{c1::出穂期}}を迎えた。
稲穂|いなほ|rice ear|{{c1::稲穂}}が垂れて刈り入れを待っている。
付随|ふずい|incidental|本文と{{c1::付随}}の条件を読んでください。
随時|ずいじ|at any time|{{c1::随時}}、申し込みを受け付けます。
骨髄|こつずい|bone marrow|{{c1::骨髄}}バンクに登録した。
脊髄|せきずい|spinal cord|事故で{{c1::脊髄}}に障害を負った。
中枢神経|ちゅうすうしんけい|central nervous system|薬が{{c1::中枢神経}}に作用する。
崇高|すうこう|noble|{{c1::崇高}}な理想を掲げる。
据え置かれた|すえおかれた|left as is|家賃は{{c1::据え置かれた}}。
据え付けて|すえつけて|installed|棚は壁に{{c1::据え付けて}}あった。
隙間風|すきまかぜ|draft|窓の{{c1::隙間風}}が寒い。
杉木立|すぎこだち|grove of cedars|{{c1::杉木立}}を歩く。
凄いな|すごいな|amazing|連休だけあって人出が{{c1::凄いな}}。
裾|すそ|hem|ズボンの{{c1::裾}}を詰めた。
裾野|すその|foothills|山の{{c1::裾野}}に町が広がっている。
寸法|すんぽう|measurement|ズボンの{{c1::寸法}}を測る。
瀬戸物|せともの|pottery|これは{{c1::瀬戸物}}なので扱いに注意。
是非|ぜひ|by all means|{{c1::是非}}また遊びに来てください。
天井|てんじょう|ceiling|{{c1::天井}}にひびが入っている。
市井|しせい|townspeople|彼は{{c1::市井}}の人として生活している。
井戸水|いどみず|well water|この地域では{{c1::井戸水}}を使っている。
遠征|えんせい|expedition|チームが{{c1::遠征}}に出発した。
一斉|いっせい|simultaneous|人々が{{c1::一斉}}に立ち上がった。
犠牲|ぎせい|sacrifice|家庭を{{c1::犠牲}}にしてまでも会社のために働く。
逝去|せいきょ|passing away|{{c1::逝去}}の知らせが届いた。
逝く|ゆく|to pass away|偉人な作家が{{c1::逝く}}。
盛大|せいだい|grand, magnificent|{{c1::盛大}}なパレードが行われた。
繁盛|はんじょう|prosperity (business)|その店は{{c1::繁盛}}している。
山盛り|やまもり|heaping pile|{{c1::山盛り}}のみかんを買った。
盛ん|さかん|active, thriving|魚釣りが{{c1::盛ん}}に行われる。
花婿|はなむこ|bridegroom|{{c1::花婿}}が教会の中で待っている。
聖火|せいか|sacred flame, Olympic torch|{{c1::聖火}}リレーのランナーを選ぶ。
聖書|せいしょ|Bible|{{c1::聖書}}は多くの言語に翻訳されている。
誠実|せいじつ|sincere|彼はとても{{c1::誠実}}な人だ。
誠|まこと|truth, sincerity|{{c1::誠}}の愛を見つけた。
誓約書|せいやくしょ|written oath|{{c1::誓約書}}にサインした。
誓った|ちかった|vowed|金メダルをとると心に{{c1::誓った}}。
要請|ようせい|request|A国が援助を{{c1::要請}}した。
請け負う|うけおう|to contract, undertake|工事を{{c1::請け負う}}。
請う|こう|to beg, request|親に許しを{{c1::請う}}。
整列|せいれつ|line up|生徒たちは{{c1::整列}}して話を聞いた。
整って|ととのって|be prepared|設備が{{c1::整って}}いる。
排斥|はいせき|rejection, exclusion|幕府はキリスト教を{{c1::排斥}}した。
分析|ぶんせき|analysis|原因を{{c1::分析}}する。
解析|かいせき|scientific analysis|データを{{c1::解析}}する。
惜別|せきべつ|farewell, parting|友人を{{c1::惜別}}の情で見送った。
惜しんで|おしんで|reluctantly, valuing|時間を{{c1::惜しんで}}勉強した。
咳|せき|cough|風邪で{{c1::咳}}が止まらない。
稚拙|ちせつ|clumsy, childish|彼の手紙は{{c1::稚拙}}だった。
窃盗|せっとう|theft|{{c1::窃盗}}の容疑で逮捕された。
摂取|せっしゅ|intake|栄養をバランスよく{{c1::摂取}}する。
節約|せつやく|saving|水を{{c1::節約}}する。
節水|せっすい|water saving|{{c1::節水}}に協力してください。
節目|ふしめ|turning point|人生の{{c1::節目}}を迎える。
毒舌|どくぜつ|sharp tongue|彼は{{c1::毒舌}}で知られている。
舌|した|tongue|{{c1::舌}}を出す子ども。
仙人|せんにん|hermit, sage|彼は{{c1::仙人}}のような生活をしている。
宣伝|せんでん|advertisement, publicity|食後のテレビ番組は{{c1::宣伝}}がすぎる。
汚染|おせん|pollution|大気{{c1::汚染}}が問題になる。
染まる|そまる|to be dyed|裏山が夕日に赤く{{c1::染まる}}。
染みた|しみた|to soak into|紙にインクが{{c1::染みた}}。
扇風機|せんぷうき|electric fan|{{c1::扇風機}}をつけたまま寝てはいけない。
扇|おうぎ|folding fan|京都で美しい{{c1::扇}}を買った。
栓抜き|せんぬき|bottle opener|{{c1::栓抜き}}にもさまざまなデザインがある。
栓|せん|stopper, plug|風呂の{{c1::栓}}をして湯を入れる。
旋回|せんかい|circling|飛行機は空港の上空を{{c1::旋回}}した。
実践|じっせん|practice|とにかく{{c1::実践}}してみることだ。
小銭|こぜに|small change|{{c1::小銭}}がないので両替してもらった。
金銭|きんせん|money|その問題は{{c1::金銭}}で解決できるだろうか。
潜る|もぐる|to dive|海に潜って魚と泳いだ。
潜む|ひそむ|to hide|物陰に{{c1::潜む}}。
潜入|せんにゅう|infiltration|敵地に{{c1::潜入}}して様子をうかがう。
変遷|へんせん|transition|時代の{{c1::変遷}}とともに生活様式も変わった。
推薦|すいせん|recommendation|恩師に{{c1::推薦}}状を書いていただいた。
薦める|すすめる|to recommend|議長に田中氏を{{c1::薦める}}。
繊細|せんさい|delicate, sensitive|彼は{{c1::繊細}}な神経の持ち主だ。
鮮やか|あざやか|vivid, bright|{{c1::鮮やか}}な色彩に目を奪われる。
新鮮|しんせん|fresh|{{c1::新鮮}}なうちに食べたほうがおいしい。
最善|さいぜん|the best|試合は{{c1::最善}}を尽くして頑張る。
善い|よい|good|{{c1::善い}}行いをすると気持ちがいい。
座禅|ざぜん|seated Zen meditation|禅堂でお坊さんが{{c1::座禅}}を組んでいる。
禅|ぜん|Zen|{{c1::禅}}の道を極める。
漸進|ぜんしん|gradual progress|{{c1::漸進}}主義で目的を達成する。
修繕|しゅうぜん|repair|靴を{{c1::修繕}}してもらった。
繕う|つくろう|to mend|制服のほころびを母に繕ってもらった。
阻害|そがい|obstruction|大臣の発言は関係を{{c1::阻害}}した。
阻む|はばむ|to block|崖が進行の行く手を{{c1::阻む}}。
租税|そぜい|taxes|{{c1::租税}}には国税と地方税がある。
素朴|そぼく|simple, naive|彼は{{c1::素朴}}な性格です。
素足|すあし|barefoot|{{c1::素足}}で歩くと気持ちがいい。
素人|しろうと|amateur|彼は料理の{{c1::素人}}だ。
措置|そち|measure|負傷者に対して速やかな{{c1::措置}}を施す。
粗末|そまつ|crude; shabby|彼は{{c1::粗末}}な服を着ていたが、実は金持ちだった。
疎遠|そえん|estranged|卒業してから、学友となんとなく{{c1::疎遠}}になった。
疎い|うとい|uninformed|彼女は政治に{{c1::疎い}}。
訴訟|そしょう|lawsuit|話し合いでは解決しないので{{c1::訴訟}}を起こした。
訴える|うったえる|to appeal; to sue|患者は医師に痛みを訴えた。
味噌汁|みそしる|miso soup|日本へ来てから{{c1::味噌汁}}が好きになった。
基礎|きそ|foundation|{{c1::基礎}}からしっかり勉強しなおそう。
礎|いしずえ|cornerstone|この分野の{{c1::礎}}となる研究結果だ。
蘇生|そせい|revival|死んだはずの蛍が{{c1::蘇生}}した。
蘇る|よみがえる|to be revived|久しぶりの前で、記憶が蘇った。
壮大|そうだい|magnificent|{{c1::壮大}}な規模の事業を計画する。
勇壮|ゆうそう|heroic|{{c1::勇壮}}な行進曲が鳴り響いた。
演奏会|えんそうかい|recital|ピアノの{{c1::演奏会}}まであと少しだ。
奏でる|かなでる|to play (an instrument)|ギターを奏でながら歌を口ずさんでいる。
別荘|べっそう|villa|富山のふもとに{{c1::別荘}}を建てた。
荘厳|そうごん|solemn|教会は{{c1::荘厳}}な雰囲気に包まれている。
倉庫|そうこ|warehouse|港の近くには{{c1::倉庫}}が立ち並んでいる。
倉|くら|storehouse|米を貯蔵しておく{{c1::倉}}を米{{c1::倉}}という。
米倉|こめぐら|rice granary|昔の村には{{c1::米倉}}があった。
挿入|そうにゅう|insertion|彼の卒業論文には図やグラフが{{c1::挿入}}されている。
挿す|さす|to insert|バラの花を花瓶に挿した。
桑|くわ|mulberry|{{c1::桑}}の葉は蚕の飼料となる。
病巣|びょうそう|lesion|手術で{{c1::病巣}}を切除した。
巣|す|nest|軒下につばめが{{c1::巣}}をつくった。
独創性|どくそうせい|originality|優れた芸術家は{{c1::独創性}}を高く評価されている。
創刊号|そうかんごう|first issue|{{c1::創刊号}}は特別価格で発売中です。
喪失|そうしつ|loss|試験の結果を見て自信を{{c1::喪失}}した。
喪主|もしゅ|chief mourner|{{c1::喪主}}は長男だそうだ。
葬儀|そうぎ|funeral|{{c1::葬儀}}は1時より執り行われます。
葬る|ほうむる|to bury|事件の真相は闇に葬られた。
僧|そう|monk|出家して仏門に入った人を{{c1::僧}}という。
僧侶|そうりょ|Buddhist priest|{{c1::僧侶}}としての生活を続けている。
遭遇|そうぐう|encounter|熊に{{c1::遭遇}}した。
遭難|そうなん|disaster|雪山で{{c1::遭難}}する。
遭う|あう|to encounter|思いがけない人に遭った。
水槽|すいそう|water tank|{{c1::水槽}}にいっぱいの水がたまっている。
浴槽|よくそう|bathtub|{{c1::浴槽}}にお湯をためる。
操縦|そうじゅう|control, pilot|彼は奥さんにうまく{{c1::操縦}}されている。
操り人形|あやつりにんぎょう|puppet|かわいい{{c1::操り人形}}ですね。
霜害|そうがい|frost damage|豊作物の{{c1::霜害}}が心配だ。
霜柱|しもばしら|frost column|朝起きて庭を見たら、{{c1::霜柱}}ができていた。
物騒な|ぶっそうな|dangerous|最近は{{c1::物騒な}}事件が多い。
騒ぎ|さわぎ|commotion|観衆が{{c1::騒ぎ}}だした。
海藻|かいそう|seaweed|{{c1::海藻}}は体に良いそうだ。
藻|も|algae|水草や海草を{{c1::藻}}という。
即座|そくざ|immediately|彼女は私のことばを{{c1::即座}}に理解した。
即時|そくじ|instant, immediate|{{c1::即時}}、実行する。
催促|さいそく|urge, press|出前がなかなか届かないので{{c1::催促}}した。
促した|うながした|urged|返事を{{c1::促した}}。
風俗|ふうぞく|customs, manners|国によって{{c1::風俗}}がちがう。
俗っぽい|ぞくっぽい|vulgar|彼女は{{c1::俗っぽい}}話が好きだ。
所属|しょぞく|belonging|妹は演劇部に{{c1::所属}}している。
配属先|はいぞくさき|assigned post|新しい{{c1::配属先}}が決まった。
盗賊|とうぞく|bandit|このほら穴は昔、{{c1::盗賊}}のかくし場所だった。
半袖|はんそで|short sleeves|{{c1::半袖}}のTシャツの上に長袖を着る。
長袖|ながそで|long sleeves|{{c1::長袖}}のカーディガンを着た。
剃る|そる|shave|父は毎朝ひげを{{c1::剃る}}。
揃った|そろった|assembled|全員{{c1::揃った}}ら出発します。
揃える|そろえる|arrange, gather|脱いだ靴を{{c1::揃える}}。
ご無沙汰|ごぶさた|long silence|{{c1::ご無沙汰}}しております。
妥協|だきょう|compromise|この点だけは{{c1::妥協}}できない。
妥当|だとう|reasonable|{{c1::妥当}}なところで手を打つ。
妥結|だけつ|settlement|会社との交渉が{{c1::妥結}}した。
堕落|だらく|corruption|学生時代に比べて{{c1::堕落}}した。
怠惰|たいだ|laziness|私は{{c1::怠惰}}な生活を送ってきた。
駄作|ださく|poor work|この作家の作品は{{c1::駄作}}ばかりだ。
無駄遣い|むだづかい|wasteful spending|{{c1::無駄遣い}}しないで貯金しなさい。
耐久性|たいきゅうせい|durability|このガラスは{{c1::耐久性}}に優れている。
耐え抜く|たえぬく|endure to the end|厳しい練習に{{c1::耐え抜く}}。
怠慢|たいまん|negligence, laziness|彼の{{c1::怠慢}}でプロジェクトに迷惑をかけた。
怠け者|なまけもの|lazy person|彼は{{c1::怠け者}}で、宿題を全然やらない。
胎児|たいじ|fetus|{{c1::胎児}}の健康のために栄養に気をつける。
泰然|たいぜん|calm, composed|彼は大勢の前でも{{c1::泰然}}としていた。
逮捕|たいほ|arrest|警察が犯人を{{c1::逮捕}}した。
滞在|たいざい|stay, sojourn|京都に1週間{{c1::滞在}}する予定です。
滞って|とどこおって|to be delayed, stagnant|支払いが{{c1::滞って}}いる。
態度|たいど|attitude|その{{c1::態度}}では面接で落ちてしまうよ。
事態|じたい|situation|{{c1::事態}}が急変した。
滝沢|たきざわ|Takizawa (surname/place)|{{c1::滝沢}}さんは新しいプロジェクトのリーダーです。
